GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,1992_count,1992_sum,1992_mean,1992_media,1992_stdev,1992_min,1992_max,1992_range,1992_minor,1992_major,1992_varie,1992_varia,1993_count,1993_sum,1993_mean,1993_media,1993_stdev,1993_min,1993_max,1993_range,1993_minor,1993_major,1993_varie,1993_varia,1994_count,1994_sum,1994_mean,1994_media,1994_stdev,1994_min,1994_max,1994_range,1994_minor,1994_major,1994_varie,1994_varia,1995_count,1995_sum,1995_mean,1995_media,1995_stdev,1995_min,1995_max,1995_range,1995_minor,1995_major,1995_varie,1995_varia,1996_count,1996_sum,1996_mean,1996_media,1996_stdev,1996_min,1996_max,1996_range,1996_minor,1996_major,1996_varie,1996_varia,1997_count,1997_sum,1997_mean,1997_media,1997_stdev,1997_min,1997_max,1997_range,1997_minor,1997_major,1997_varie,1997_varia,1998_count,1998_sum,1998_mean,1998_media,1998_stdev,1998_min,1998_max,1998_range,1998_minor,1998_major,1998_varie,1998_varia,1999_count,1999_sum,1999_mean,1999_media,1999_stdev,1999_min,1999_max,1999_range,1999_minor,1999_major,1999_varie,1999_varia,2000_count,2000_sum,2000_mean,2000_media,2000_stdev,2000_min,2000_max,2000_range,2000_minor,2000_major,2000_varie,2000_varia,2001_count,2001_sum,2001_mean,2001_media,2001_stdev,2001_min,2001_max,2001_range,2001_minor,2001_major,2001_varie,2001_varia,2002_count,2002_sum,2002_mean,2002_media,2002_stdev,2002_min,2002_max,2002_range,2002_minor,2002_major,2002_varie,2002_varia,2003_count,2003_sum,2003_mean,2003_media,2003_stdev,2003_min,2003_max,2003_range,2003_minor,2003_major,2003_varie,2003_varia,2004_count,2004_sum,2004_mean,2004_media,2004_stdev,2004_min,2004_max,2004_range,2004_minor,2004_major,2004_varie,2004_varia,2005_count,2005_sum,2005_mean,2005_media,2005_stdev,2005_min,2005_max,2005_range,2005_minor,2005_major,2005_varie,2005_varia,2006_count,2006_sum,2006_mean,2006_media,2006_stdev,2006_min,2006_max,2006_range,2006_minor,2006_major,2006_varie,2006_varia,2007_count,2007_sum,2007_mean,2007_media,2007_stdev,2007_min,2007_max,2007_range,2007_minor,2007_major,2007_varie,2007_varia,2008_count,2008_sum,2008_mean,2008_media,2008_stdev,2008_min,2008_max,2008_range,2008_minor,2008_major,2008_varie,2008_varia,2009_count,2009_sum,2009_mean,2009_media,2009_stdev,2009_min,2009_max,2009_range,2009_minor,2009_major,2009_varie,2009_varia,2010_count,2010_sum,2010_mean,2010_media,2010_stdev,2010_min,2010_max,2010_range,2010_minor,2010_major,2010_varie,2010_varia,2011_count,2011_sum,2011_mean,2011_media,2011_stdev,2011_min,2011_max,2011_range,2011_minor,2011_major,2011_varie,2011_varia,2012_count,2012_sum,2012_mean,2012_media,2012_stdev,2012_min,2012_max,2012_range,2012_minor,2012_major,2012_varie,2012_varia,2013_count,2013_sum,2013_mean,2013_media,2013_stdev,2013_min,2013_max,2013_range,2013_minor,2013_major,2013_varie,2013_varia
TUN,Tunisia,TUN.1_1,Ariana,Al Aryiānah|L'Ariana|Tunis Ariana|Al Aryānah,,Wilayat,Governorate,,TN.AN,801,11859,14.8052434456929,8,15.6780824603925,2,63,61,30,4,60,245.802269634867,801,10162,12.6866416978777,6,14.0811961043105,2,63,61,2,4,59,198.280083728049,801,10992,13.7228464419476,7,15.0059693453189,2,63,61,28,4,61,225.17911599265,801,12175,15.1997503121099,8,15.9939923158612,3,63,60,31,4,59,255.807790199829,801,11767,14.6903870162297,7,15.688176165055,3,63,60,34,4,61,246.118871385799,801,10802,13.4856429463171,6,15.7220745000182,3,63,60,45,4,56,247.183626584123,801,11612,14.4968789013733,7,16.8322947058693,2,63,61,25,3,62,283.326145065235,801,13003,16.2334581772784,8,17.9847120304313,2,63,61,2,4,58,323.449866817539,801,14310,17.8651685393258,10,17.0813372617456,3,63,60,3,5,60,291.772082649497,801,14789,18.4631710362047,11,17.3889615690931,3,63,60,37,6,60,302.375984451396,801,16256,20.294631710362,12,18.8385766098341,3,63,60,3,6,61,354.891968684588,801,12691,15.8439450686642,7,18.0817775140994,2,63,61,36,4,62,326.950678069392,801,14643,18.2808988764045,10,18.1166906219692,3,63,60,32,5,60,328.214479092147,801,14468,18.0624219725343,9,19.1233880017607,2,63,61,35,4,60,365.703968665885,801,15363,19.1797752808989,11,18.8654514622853,3,62,59,40,5,60,355.905258875844,801,16717,20.8701622971286,11,19.7447664292831,3,63,60,45,6,60,389.855801346943,801,16778,20.9463171036205,12,20.2064467171532,3,63,60,34,6,60,408.300488933152,801,15936,19.8951310861423,11,19.5541180917502,3,63,60,32,4,60,382.363534346113,801,21384,26.6966292134831,19,20.5217001221564,4,63,59,35,63,60,421.140175903715,801,18872,23.5605493133583,14,20.6942944894808,3,63,60,34,6,60,428.253824417355,801,21331,26.6304619225968,18,21.1879590546196,4,63,59,47,8,60,448.929608900239,801,20926,26.1248439450687,18,21.1589170279252,3,63,60,3,63,60,447.699769794622
TUN,Tunisia,TUN.2_1,Béja,Bājah|Béja,,Wilayat,Governorate,,TN.BJ,5102,19688,3.85887887103097,3,2.98475128883497,2,46,44,22,3,40,8.90874025620199,5102,17196,3.37044296354371,3,2.7203323896633,2,42,40,31,3,37,7.40020831025126,5102,17583,3.44629557036456,3,3.268369519382,2,47,45,29,3,40,10.6822393152254,5102,21560,4.22579380635045,3,3.54391958709628,2,53,51,26,3,44,12.5593660398047,5102,20940,4.10427283418267,3,3.780391724931,2,53,51,33,3,45,14.2913615939268,5102,17606,3.45080360642885,3,2.82839773244356,2,44,42,25,3,37,7.99983373289186,5102,16276,3.19012152097217,3,3.17352527428633,2,46,44,22,2,39,10.0712626665341,5102,18979,3.71991375931007,3,3.27812908446341,2,46,44,19,3,39,10.7461302944049,5102,24980,4.89611916895335,4,4.45181843843281,3,56,53,37,4,49,19.8186874087703,5102,25387,4.97589180713446,4,4.38458944448433,3,53,50,27,4,47,19.2246245966834,5102,25882,5.07291258330067,4,4.80022042563208,3,57,54,30,4,50,23.0421161346554,5102,16045,3.14484515876127,2,3.80765387524241,2,47,45,33,2,45,14.4982280336486,5102,23510,4.60799686397491,4,4.63581564527449,2,58,56,37,3,54,21.4907866969717,5102,19610,3.84359074872599,3,3.76872524444893,2,50,48,23,3,44,14.2032899681467,5102,22838,4.47628381027048,3,4.17090382511443,2,55,53,23,3,46,17.3964387183542,5102,25307,4.96021168169345,4,4.45775771831785,3,55,52,29,4,51,19.8716038752224,5102,23616,4.62877303018424,3,4.47031447540879,2,54,52,29,3,48,19.9837115090494,5102,22611,4.43179145433164,3,4.37760424648789,2,53,51,27,3,48,19.1634189388688,5102,32639,6.39729517836143,5,5.52631143937285,3,59,56,36,4,54,30.5401181249433,5102,26821,5.25695805566445,4,5.23156688193747,2,60,58,32,4,56,27.369292040185,5102,30319,5.94257154057232,5,5.16900142648828,3,57,54,32,4,53,26.7185757470378,5102,30347,5.94805958447668,4,5.65936979199533,3,61,58,34,4,57,32.0284664425493
TUN,Tunisia,TUN.3_1,Ben Arous (Tunis Sud),Bin `Arūs|Ben Arous|Tunis Ben Arous,,Wilayat,Governorate,,TN.BA,1000,13799,13.799,7,14.8249991231029,3,63,60,40,4,60,219.780599000001,1000,14062,14.062,7,15.9927532338869,2,63,61,2,3,62,255.768156,1000,14491,14.491,7,16.0239170928959,2,62,60,38,4,61,256.765919,1000,17303,17.303,8,18.3215499071449,3,63,60,30,4,61,335.679191000002,1000,17152,17.152,8,18.1446657726176,3,62,59,28,4,60,329.228895999999,1000,15781,15.781,7,17.614568941646,2,62,60,48,4,61,310.273039,1000,14437,14.437,6,17.1265300338393,2,63,61,54,3,60,293.318031,1000,15351,15.351,6,17.7273742838583,2,63,61,40,3,62,314.259799,1000,20293,20.293,10,19.7727881443159,3,63,60,3,5,61,390.963150999999,1000,19864,19.864,10,19.3287739911252,4,63,59,45,5,60,373.601503999998,1000,20252,20.252,10,19.5512274806468,4,63,59,29,5,60,382.250496,1000,16787,16.787,7,19.245717211889,2,63,61,52,3,62,370.397631,1000,20599,20.599,10,20.3843125711907,3,63,60,27,4,61,415.520199000003,1000,17173,17.173,7,18.9539724332394,2,63,61,39,3,62,359.253071,1000,18425,18.425,8,19.227334058574,3,63,60,46,4,61,369.690375000001,1000,20271,20.271,10,19.8795261261429,3,63,60,26,4,61,395.195559,1000,20200,20.2,9,20.397990097066,3,63,60,54,4,60,416.078000000002,1000,19543,19.543,9,19.7262807188785,3,62,59,40,4,60,389.126150999999,1000,25671,25.671,15,21.3244169674109,4,63,59,34,6,60,454.730759000001,1000,23758,23.758,14,21.243009108881,3,63,60,33,5,61,451.265436,1000,24192,24.192,15,20.83542982518,4,63,59,31,5,60,434.115136000001,1000,25576,25.576,16,21.4965630741289,4,63,59,35,63,59,462.102224000003
TUN,Tunisia,TUN.4_1,Bizerte,BanzartBanzart|Bensert|Binzart|Biserta|Bizerta,,Wilayat,Governorate,,TN.BZ,4925,23644,4.80081218274112,3,5.83550478464616,2,62,60,33,3,58,34.0531160916282,4925,20876,4.23878172588832,3,5.75413676291819,2,60,58,33,3,56,33.1100898863666,4925,22069,4.4810152284264,3,6.71770862136754,2,61,59,43,3,58,45.1276091215957,4925,27103,5.50314720812183,3,7.58123787781754,2,62,60,34,3,60,57.4751677600554,4925,25492,5.17604060913706,3,7.2084886901708,2,61,59,52,3,60,51.9623091963204,4925,21619,4.38964467005076,3,6.30679710482718,2,61,59,34,3,58,39.7756897214565,4925,20023,4.06558375634518,3,6.19149271336359,1,61,60,1,2,59,38.3345820196344,4925,23188,4.70822335025381,3,6.55143983018936,2,59,57,41,3,57,42.9213638485916,4925,29531,5.99614213197969,4,7.92701384940325,3,63,60,37,4,61,62.8375485686309,4925,29310,5.951269035533,4,7.25898434489964,3,62,59,40,4,58,52.692853719498,4925,28926,5.87329949238579,4,7.19939279564884,3,61,58,50,4,59,51.8312566260404,4925,20287,4.11918781725888,2,6.5737987341576,2,60,58,40,2,58,43.2148297972121,4925,27910,5.66700507614213,4,7.45705659499025,2,63,61,38,3,61,55.6076930608876,4925,22920,4.65380710659898,3,6.3140925471327,2,63,61,29,3,56,39.8677646937567,4925,26028,5.2848730964467,3,6.8306464238498,2,62,60,44,3,60,46.6577305676521,4925,29405,5.97055837563452,4,7.44946740799879,2,63,61,43,4,61,55.4945646628362,4925,27165,5.51573604060914,3,7.38014940017503,2,63,61,39,3,62,54.4666051689039,4925,26128,5.30517766497462,3,7.68052871976505,2,63,61,24,3,61,58.9905214151357,4925,37955,7.70659898477157,5,8.93249398763787,3,62,59,49,4,60,79.7894488391868,4925,32086,6.51492385786802,4,8.69134762113213,2,63,61,33,4,62,75.5395234713591,4925,36026,7.31492385786802,5,8.76301124676636,3,63,60,41,4,61,76.7903661109537,4925,35872,7.28365482233503,4,9.20444313602427,3,63,60,47,4,61,84.7217734443043
TUN,Tunisia,TUN.5_1,Gabès,Qābis|Gabās,,Wilayat,Governorate,,TN.GB,10466,41435,3.95901012803363,3,4.74251414455718,2,63,61,36,3,59,22.4914404113249,10466,33693,3.219281482897,2,4.65066430549397,2,62,60,56,2,57,21.6286784823957,10466,35851,3.42547296006115,3,4.90136193676472,2,61,59,34,3,58,24.023348835166,10466,43555,4.16157080068794,3,5.60878027591157,2,63,61,36,3,61,31.4584161834547,10466,42577,4.06812535830308,3,5.46834284043667,2,62,60,53,3,59,29.902773420555,10466,34648,3.31052933307854,2,5.13872878301607,2,62,60,37,2,61,26.4065335053978,10466,32704,3.12478501815402,2,5.09511134692076,1,61,60,50,2,59,25.9601596375207,10466,35231,3.36623351805848,2,5.52446417894833,2,61,59,41,2,59,30.5197044644832,10466,51682,4.93808522835849,4,6.56840033616337,3,63,60,41,3,61,43.1438829761111,10466,49228,4.70361169501242,3,6.30843486280865,2,63,61,2,3,61,39.7963504182996,10466,49610,4.74011083508504,3,6.33537127912453,3,63,60,41,3,61,40.136929244356,10466,34507,3.29705713739729,2,5.65446752544861,2,63,61,35,2,62,31.973002996353,10466,47166,4.50659277660997,3,6.54502730979739,2,63,61,39,3,62,42.8373824859936,10466,38443,3.67313204662717,2,6.17275336258016,2,63,61,49,2,62,38.1028840752447,10466,49258,4.70647811962545,3,6.44729251798668,2,63,61,47,3,62,41.5675808124871,10466,48932,4.6753296388305,3,6.44993337648741,2,63,61,36,3,62,41.6016405611262,10466,44464,4.24842346646283,3,6.15965447901889,2,63,61,26,3,61,37.9413433008974,10466,44356,4.23810433785591,3,6.39820288754155,2,63,61,34,3,62,40.937000190145,10466,63274,6.04567169883432,4,8.00662687099402,3,63,60,56,4,61,64.1060738513235,10466,53738,5.13453086183833,3,7.25392268232518,2,63,61,38,3,62,52.6193942811517,10466,59643,5.69873877317027,4,7.35059560948889,3,63,60,57,4,61,54.0312558142374,10466,59084,5.64532772788076,4,7.67115961919086,3,63,60,42,3,61,58.8466899031044
TUN,Tunisia,TUN.6_1,Gafsa,Gafṣah|Qafṣah,,Wilayat,Governorate,,TN.GF,10436,43266,4.14584131851284,3,4.64250973688519,2,63,61,42,3,60,21.5528966570738,10436,36438,3.49156765044078,3,4.51714355009551,2,61,59,43,3,57,20.4045858521695,10436,36928,3.53852050594097,3,4.73099185136903,2,61,59,36,3,56,22.3822838977202,10436,43417,4.16031046377923,3,5.06419881891221,2,63,61,46,3,61,25.6461096774719,10436,43348,4.15369873514757,3,4.98698447037714,2,60,58,41,3,58,24.8700141077828,10436,35809,3.43129551552319,3,4.84840858620276,2,62,60,42,2,61,23.5070658187646,10436,32373,3.10205059409736,2,4.6127782185543,2,61,59,41,2,60,21.2777228935689,10436,33859,3.24444231506324,2,4.40825112765077,2,60,58,34,2,57,19.4326780044342,10436,48883,4.68407435799157,4,5.14268798065525,3,62,59,39,4,57,26.447239666376,10436,47789,4.57924492142583,4,5.03519107307657,3,62,59,43,3,58,25.35314914239,10436,46459,4.45180145649674,3,5.08483752404152,3,61,58,48,3,57,25.8555726459006,10436,30615,2.93359524722116,2,4.0039624574785,1,57,56,1,2,54,16.0317153608973,10436,44245,4.23965120735914,3,5.00227652592078,2,62,60,60,3,59,25.0227704417781,10436,36832,3.5293215791491,3,4.42095548637316,2,61,59,36,3,60,19.5448474124929,10436,45500,4.35990801073208,3,4.9963400317903,2,63,61,53,3,61,24.9634137132703,10436,47082,4.51149865848984,3,5.30620112939047,2,63,61,58,3,61,28.1557704255447,10436,42493,4.07177079340744,3,4.98686703458152,2,63,61,34,3,61,24.8688428205959,10436,41644,3.9904177845918,3,4.891688512008,2,61,59,42,3,58,23.9286164985111,10436,58058,5.56324262169414,4,5.94833109052639,3,62,59,56,4,60,35.3826427625229,10436,49181,4.71262935990801,3,5.85364473745857,2,63,61,53,3,61,34.2651567123764,10436,56470,5.41107704101188,4,6.01093356287072,2,63,61,2,4,62,36.1313222972457,10436,56002,5.36623227290149,4,6.26905879268384,3,63,60,48,4,60,39.3010981461265
TUN,Tunisia,TUN.7_1,Jendouba,Jendoûbah|Jenduba|Jondouba|Jundūbah|Souk-El-Arba|Dschunduba,,Wilayat,Governorate,,TN.JE,4431,17813,4.02008575942225,3,2.99481280156369,2,43,41,22,3,39,8.96890371640976,4431,15500,3.49808169713383,3,3.1501839867181,2,47,45,19,3,39,9.92365915017514,4431,16236,3.66418415707515,3,3.71551870139696,2,53,51,31,3,42,13.8050792204306,4431,21713,4.90024825095915,4,4.6857922009435,2,55,53,39,4,48,21.9566485504229,4431,20025,4.51929587000677,3,4.33504558475133,2,53,51,26,3,47,18.792620221872,4431,16712,3.77160911758068,3,3.03298902717286,2,37,35,30,3,33,9.19902243895097,4431,15784,3.56217558113293,3,3.50279962271398,2,51,49,26,3,39,12.2696051968852,4431,17213,3.88467614533965,3,3.43617267754209,2,46,44,27,3,39,11.8072826698868,4431,22663,5.11464680658993,4,4.33222455362085,3,50,47,27,4,45,18.7681695829954,4431,22614,5.10358835477319,4,3.95886810066869,3,47,44,33,4,41,15.6726366384921,4431,23300,5.25840668020763,4,4.56698988434809,3,53,50,30,4,47,20.8573966037378,4431,14920,3.36718573685398,3,3.47787243315243,2,42,40,20,2,39,12.0955966612816,4431,22356,5.04536222071767,4,4.24455210438424,2,52,50,29,4,45,18.0162225668327,4431,18509,4.17716091175807,3,3.15427186251967,2,40,38,22,3,35,9.94943098268327,4431,22170,5.00338524035207,4,4.32819033782078,2,55,53,31,4,46,18.7332316004052,4431,24461,5.52042428345746,4,4.47979746541679,3,54,51,31,4,45,20.0685853311547,4431,21835,4.92778153915595,4,4.53275872104722,2,51,49,37,4,47,20.5459016232296,4431,20467,4.61904761904762,4,3.71213531950562,2,41,39,35,3,38,13.7799486303211,4431,30270,6.83141503046716,5,5.38659090241073,3,55,52,26,5,52,29.0153615499341,4431,24765,5.58903182125931,4,4.85573010580471,2,52,50,52,4,46,23.5781148604182,4431,28311,6.38930264048747,5,5.22725382633364,3,54,51,34,5,50,27.3241825649197,4431,28223,6.36944256375536,5,5.59270211763142,3,56,53,30,4,51,31.2783169765589
TUN,Tunisia,TUN.8_1,Kairouan,Al Qayrawān|Al Qīrwān|Qairouân|Kairuã|Kairouwan,,Wilayat,Governorate,,TN.KR,9483,40806,4.30306864916166,4,3.77483663445461,2,63,61,23,3,54,14.2493916168206,9483,36019,3.7982705894759,3,4.20658522275284,2,62,60,33,3,57,17.6953592362826,9483,37271,3.93029631973004,3,4.5693933134861,2,63,61,29,3,55,20.8793552533315,9483,43047,4.53938627016767,3,4.59196671452401,2,63,61,35,3,56,21.0861583072965,9483,42980,4.53232099546557,3,4.43318760457179,2,62,60,29,3,55,19.653152337329,9483,35733,3.76811135716545,3,3.80530436817225,2,61,59,32,3,55,14.4803413344308,9483,33324,3.51407782347358,3,3.80768398158981,1,61,60,1,3,55,14.4984573036556,9483,38379,4.04713698196773,3,3.94181462503341,2,61,59,30,3,56,15.5379025381273,9483,51514,5.43224717916271,4,4.54078287787542,3,63,60,39,4,54,20.6187091440066,9483,51753,5.45745017399557,4,4.341282561251,3,61,58,31,4,56,18.8467342766221,9483,52551,5.5416007592534,4,4.56282770409163,3,62,59,33,4,58,20.8193966572261,9483,33657,3.54919329326163,3,3.96454019595961,2,62,60,27,3,54,15.7175789653794,9483,49032,5.17051565960139,4,4.36890641518255,2,63,61,31,4,54,19.0873432646232,9483,39700,4.18643889064642,3,3.75990906407715,2,61,59,21,3,55,14.1369161701295,9483,51109,5.38953917536645,4,4.16764884283323,2,62,60,27,4,58,17.3692968771692,9483,52899,5.57829800695982,5,4.38323637544738,2,63,61,31,4,56,19.2127611230451,9483,47317,4.98966571759992,4,4.42397420226542,2,62,60,26,4,57,19.57154774231,9483,45385,4.78593272171254,4,4.40515649149378,2,63,61,25,3,60,19.4054037145498,9483,64659,6.81841189496995,5,5.36177535481612,3,63,60,37,5,60,28.7486349555135,9483,54375,5.73394495412844,5,4.97626702287944,3,63,60,36,4,57,24.7632334829974,9483,63560,6.70252029948329,5,5.38838320850436,3,62,59,35,5,59,29.0346736016918,9483,63185,6.66297585152378,5,5.78713834669162,3,63,60,46,4,60,33.4909702437486
TUN,Tunisia,TUN.9_1,Kassérine,Al Qaṣrayn|Al Gaṣrīn|Al Qasrin|Kasserim|Al Qaṣrayn|Sbeitla,,Wilayat,Governorate,,TN.KS,11479,41962,3.65554490809304,3,3.19829895013859,2,56,54,40,3,47,10.2291161744576,11479,34695,3.02247582542033,2,3.13308212624774,2,50,48,35,2,45,9.81620360981304,11479,35101,3.05784475999651,2,3.4073501346751,2,54,52,41,2,49,11.6100349402704,11479,43311,3.77306385573656,3,3.82393951341149,2,60,58,26,3,56,14.6225134022297,11479,42878,3.73534279989546,3,3.68989092122626,2,58,56,42,3,54,13.615295010548,11479,33565,2.92403519470337,2,3.28159432059114,1,59,58,28,2,55,10.768861284936,11479,32182,2.8035543165781,2,3.14038376494362,1,55,54,34,2,46,9.86201019112146,11479,34235,2.98240264831431,2,2.94634253677603,2,52,50,25,2,44,8.68093434401582,11479,49013,4.2697970206464,4,3.58566512548407,3,55,52,35,3,51,12.8569943921127,11479,49030,4.27127798588727,4,3.4145224197524,3,54,51,38,3,47,11.6589633549918,11479,47937,4.17606063245927,3,3.51459790301535,2,55,53,45,3,48,12.3523984198799,11479,31346,2.73072567296803,2,2.69823715743151,2,50,48,26,2,44,7.28048375774407,11479,45262,3.94302639602753,3,3.23944591974839,2,56,54,33,3,48,10.4940098669745,11479,37998,3.31021866016204,3,2.81537338978512,2,51,49,35,3,45,7.92632732391016,11479,48744,4.24636292359962,3,3.55342393249819,2,56,54,32,3,50,12.6268216440509,11479,51697,4.50361529749978,4,4.06195593463427,2,58,56,40,3,55,16.4994860149105,11479,46939,4.08911926125969,3,4.04254565383448,2,56,54,48,3,53,16.342175363336,11479,46713,4.0694311351163,3,3.95227720580618,2,53,51,42,3,52,15.6204951115351,11479,66549,5.79745622440979,4,5.16769979328942,3,59,56,52,4,57,26.7051211535635,11479,53997,4.70398118302988,4,4.62715754974369,2,61,59,37,3,57,21.41058699015,11479,63107,5.49760432093388,4,4.90320706360291,3,60,57,52,4,57,24.0414395085655,11479,62082,5.40831082846938,4,5.19665743209043,2,62,60,2,4,60,27.0052484665007
TUN,Tunisia,TUN.10_1,Kebili,Kebilli|Qbili|Qibilī,,Wilayat,Governorate,,TN.KB,30508,96915,3.1767077487872,3,2.007021636773,2,57,55,24,3,53,4.02813585047495,30508,81008,2.65530352694375,2,2.06431888969334,1,54,53,1,2,50,4.26141247834476,30508,82483,2.70365150124558,2,2.4573169826201,2,61,59,30,2,55,6.03840675307315,30508,101257,3.3190310738167,3,2.76451003830447,2,63,61,27,3,60,7.6425157518862,30508,97813,3.20614265110791,3,2.60417266145345,2,60,58,40,3,55,6.78171525066154,30508,75775,2.48377474760718,2,2.6574391261994,2,62,60,43,2,58,7.06198270945545,30508,72680,2.38232594729251,2,2.69033879741069,1,59,58,33,2,59,7.23792284485321,30508,75669,2.48030024911499,2,2.77360874713058,1,60,59,1,2,59,7.69290548215925,30508,116603,3.82204667628163,3,3.23920123734381,3,62,59,34,3,60,10.4924246560097,30508,109282,3.58207683230628,3,3.10129816927182,2,61,59,36,3,60,9.61805033472877,30508,108133,3.54441457978235,3,3.0637795381668,2,61,59,2,3,60,9.38674505848955,30508,70752,2.31912940867969,2,2.36994862519684,1,56,55,26,2,53,5.61665648607238,30508,100178,3.28366330142913,3,2.59825395596502,2,60,58,40,3,55,6.75092361968786,30508,74314,2.43588566933263,2,2.29066255208712,2,55,53,36,2,50,5.24713492753428,30508,101186,3.31670381539268,3,2.45882579694331,2,56,54,40,3,54,6.04582429971391,30508,105473,3.45722433460076,3,2.83698518043559,2,60,58,33,3,57,8.04848491401118,30508,95892,3.14317556050872,3,2.76164358136178,2,60,58,36,3,55,7.62667527047674,30508,95492,3.13006424544382,3,2.81101283146382,2,60,58,40,3,56,7.90179313865426,30508,129526,4.24564048774092,4,3.71083044076996,3,63,60,48,4,60,13.770262560145,30508,109201,3.57942179100564,3,3.4642083527064,2,62,60,46,3,60,12.0007395109608,30508,128220,4.20283204405402,4,3.64322272547747,3,63,60,53,4,60,13.2730718274355,30508,121444,3.98072636685459,3,3.57748093507424,2,63,61,44,3,61,12.7983698408196
TUN,Tunisia,TUN.11_1,Le Kef,Al Kāf|El Kef|Kaf|Kef,,Wilayat,Governorate,,TN.KF,7253,26088,3.59685647318351,3,2.5055627709281,2,52,50,20,3,39,6.27784479906088,7253,21766,3.00096511788226,3,2.52283090080508,2,46,44,18,2,37,6.36467575405699,7253,22766,3.13883910106163,3,2.9542489859352,2,52,50,21,3,41,8.72758707089915,7253,28660,3.95146835792086,3,3.48712779116314,2,56,54,33,3,44,12.1600602319024,7253,27520,3.79429201709637,3,3.33391638176148,2,52,50,30,3,45,11.1149984405775,7253,22303,3.07500344684958,3,2.47042894690498,1,41,40,1,3,35,6.10301918170607,7253,20906,2.88239349234799,2,2.91017890728992,2,50,48,24,2,40,8.46914127243516,7253,23552,3.24720805184062,3,2.94294652160304,2,48,46,25,3,43,8.66093422901546,7253,32854,4.52971184337516,4,3.79676088660815,3,58,55,28,4,48,14.4153932300775,7253,33459,4.61312560319868,4,3.68852114796791,3,55,52,29,4,47,13.6051882590065,7253,32254,4.44698745346753,4,3.76946424609468,3,56,53,26,3,47,14.2088607025862,7253,20357,2.80670067558252,2,2.91070740766068,2,47,45,26,2,41,8.47221761301074,7253,29340,4.04522266648284,3,3.39700777013357,2,53,51,26,3,45,11.5396617903478,7253,24450,3.3710188887357,3,2.69596846989751,2,45,43,18,3,41,7.2682459906815,7253,29515,4.06935061353922,3,3.55054726201974,2,54,52,21,3,47,12.6063858598359,7253,31790,4.3830139252723,4,3.6531696274579,3,55,52,31,3,46,13.3456483269809,7253,28813,3.97256307734731,3,3.71472637830596,2,53,51,31,3,45,13.7991920656821,7253,27906,3.84751137460361,3,3.26969944367885,2,52,50,25,3,46,10.6909344519938,7253,40298,5.55604577416242,4,4.61993336330444,3,57,54,40,4,51,21.3437842813735,7253,32981,4.54722183923894,4,4.22226600265408,2,57,55,36,3,49,17.8275301971685,7253,37654,5.19150696263615,4,4.14252156050013,3,55,52,30,4,46,17.1604848792084,7253,36928,5.09141045084792,4,4.51066715023731,3,59,56,38,4,51,20.34611814023
